"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"03-Feb-2020","     3182.60","     3244.80","     3165.95","     3232.05","      237920307","         6311.68"
"04-Feb-2020","     3257.35","     3328.35","     3256.60","     3322.40","      203428362","         5468.10"
"05-Feb-2020","     3331.15","     3376.55","     3318.30","     3372.05","      209641964","         5736.22"
"06-Feb-2020","     3381.50","     3396.40","     3370.45","     3389.45","      211250263","         5460.50"
"07-Feb-2020","     3386.90","     3412.00","     3378.15","     3405.20","      196990636","         4744.77"
"10-Feb-2020","     3405.00","     3406.75","     3345.50","     3356.95","      279481586","         6618.02"
"11-Feb-2020","     3379.70","     3401.95","     3376.85","     3379.90","      237756217","         5320.23"
"12-Feb-2020","     3393.35","     3410.55","     3375.25","     3378.25","      182826084","         4285.84"
"13-Feb-2020","     3381.10","     3383.90","     3355.45","     3360.70","      168845641","         3865.78"
"14-Feb-2020","     3364.85","     3383.40","     3336.60","     3342.50","      213296001","         5758.44"
"17-Feb-2020","     3342.35","     3349.00","     3296.60","     3300.15","      212437161","         4200.41"
"18-Feb-2020","     3291.95","     3292.55","     3229.35","     3278.55","      269443359","         5122.11"
"19-Feb-2020","     3316.95","     3336.55","     3298.80","     3330.55","      194643945","         4577.26"
"20-Feb-2020","     3320.35","     3351.20","     3314.75","     3324.80","      249217208","         5140.94"
"24-Feb-2020","     3304.55","     3304.55","     3221.20","     3227.65","      228233824","         5542.18"
"25-Feb-2020","     3247.85","     3252.35","     3202.45","     3208.75","      204394689","         5619.79"
"26-Feb-2020","     3189.00","     3203.60","     3158.70","     3166.45","      233155614","         6103.91"
"27-Feb-2020","     3162.50","     3164.50","     3116.40","     3144.25","      246442067","         5627.62"
"28-Feb-2020","     3076.05","     3079.25","     3008.45","     3015.30","      365268503","         8150.92"
"02-Mar-2020","     3073.50","     3100.25","     2936.10","     2963.85","      275478914","         6177.48"
"03-Mar-2020","     2998.65","     3094.25","     2997.00","     3076.30","      292498628","         6367.78"
"04-Mar-2020","     3083.15","     3087.00","     3001.15","     3049.45","      282929846","         6304.45"
"05-Mar-2020","     3069.90","     3088.60","     3027.00","     3033.15","      237893501","         5820.37"
"06-Mar-2020","     2923.85","     2970.25","     2893.90","     2958.50","      231665452","         5787.82"
"09-Mar-2020","     2900.70","     2902.85","     2785.25","     2813.35","      511748421","        12221.02"
"11-Mar-2020","     2804.10","     2833.40","     2769.70","     2785.55","      415965497","         9201.11"
"12-Mar-2020","     2663.35","     2668.65","     2507.95","     2524.35","      556405416","        10175.84"
"13-Mar-2020","     2377.35","     2652.95","     2203.70","     2625.95","      594199713","        11467.50"
"16-Mar-2020","     2522.85","     2571.75","     2433.50","     2455.20","      410187588","         7523.23"
"17-Mar-2020","     2470.70","     2545.25","     2415.65","     2423.15","      361731738","         6882.24"
"18-Mar-2020","     2470.05","     2476.85","     2309.40","     2338.05","      614153052","         9019.59"
"19-Mar-2020","     2215.90","     2303.25","     2164.75","     2212.55","      408594911","         7490.42"
"20-Mar-2020","     2237.05","     2398.70","     2220.55","     2379.90","      528412262","         8356.06"
"23-Mar-2020","     2159.10","     2209.05","     2082.80","     2088.40","      262512008","         4865.66"
"24-Mar-2020","     2144.95","     2192.65","     2068.80","     2100.00","      277138701","         5092.63"
"25-Mar-2020","     2075.70","     2206.05","     2072.60","     2184.40","      258602969","         6473.91"
"26-Mar-2020","     2208.00","     2248.70","     2162.15","     2208.30","      356172032","         6195.13"
"27-Mar-2020","     2269.85","     2292.70","     2177.70","     2211.90","      309273898","         5195.24"
"30-Mar-2020","     2153.50","     2198.35","     2120.05","     2162.80","      235530449","         4157.78"
"31-Mar-2020","     2215.40","     2304.00","     2197.45","     2295.05","      364709860","         6259.36"
"01-Apr-2020","     2289.45","     2290.75","     2208.95","     2227.45","      255690311","         4879.34"
"03-Apr-2020","     2257.65","     2257.90","     2175.90","     2198.00","      305862480","         5466.87"
"07-Apr-2020","     2268.00","     2371.30","     2242.95","     2365.10","      403770955","         7318.41"
"08-Apr-2020","     2341.65","     2444.15","     2316.90","     2355.90","      429525728","         7588.56"
"09-Apr-2020","     2406.85","     2442.35","     2391.75","     2436.60","      280539510","         5583.69"
"13-Apr-2020","     2440.65","     2475.35","     2375.90","     2460.00","      299376880","         5662.91"
"15-Apr-2020","     2495.05","     2572.50","     2480.65","     2493.65","      369851046","         7837.87"
"16-Apr-2020","     2480.85","     2553.35","     2474.45","     2536.90","      289084104","         6236.63"
"17-Apr-2020","     2620.25","     2620.25","     2549.25","     2573.40","      243787593","         5311.96"
"20-Apr-2020","     2595.75","     2596.20","     2552.00","     2560.30","      272454884","         5456.33"
"21-Apr-2020","     2508.00","     2508.40","     2458.80","     2481.40","      300539075","         6944.03"
"22-Apr-2020","     2492.15","     2533.25","     2445.60","     2528.10","      355792542","        12916.96"
"23-Apr-2020","     2541.65","     2567.20","     2519.70","     2525.05","      268637972","         7687.73"
"24-Apr-2020","     2504.85","     2534.40","     2480.95","     2484.90","      355543363","        12072.61"
"27-Apr-2020","     2514.00","     2538.80","     2511.30","     2516.95","      225996045","         6811.58"
"28-Apr-2020","     2543.30","     2546.95","     2510.40","     2517.60","      275453864","         8714.27"
"29-Apr-2020","     2529.05","     2563.45","     2522.20","     2548.55","      311575257","         6119.51"
"30-Apr-2020","     2590.30","     2691.95","     2581.45","     2679.95","      469024382","        11042.13"
"04-May-2020","     2587.00","     2590.75","     2530.25","     2534.10","      276465231","         7165.56"
"05-May-2020","     2574.50","     2597.40","     2528.05","     2535.85","      315653426","         7529.17"
"06-May-2020","     2537.30","     2558.65","     2503.95","     2545.10","      305252102","         7008.70"
"07-May-2020","     2530.55","     2548.75","     2509.30","     2513.85","      214495224","         6470.17"
"08-May-2020","     2553.65","     2562.00","     2506.45","     2510.40","      250450661","         8904.62"
"11-May-2020","     2536.40","     2565.00","     2523.05","     2528.05","      246386774","         7980.64"
"12-May-2020","     2516.95","     2533.80","     2488.75","     2523.45","      369151920","        11056.11"
"13-May-2020","     2630.05","     2630.05","     2565.15","     2587.90","      474116956","        10387.70"
"14-May-2020","     2561.55","     2574.15","     2526.45","     2536.20","      298736571","         6849.94"
"15-May-2020","     2555.35","     2569.85","     2532.35","     2555.85","      361030690","         8261.31"
"18-May-2020","     2563.30","     2563.30","     2449.40","     2453.85","      361899302","         8505.86"
"19-May-2020","     2487.60","     2511.10","     2462.85","     2472.95","      329020120","         7142.33"
"20-May-2020","     2472.60","     2540.55","     2462.45","     2530.60","      301941369","         7436.70"
