"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"30-Apr-2020","    29078.45","    29078.45","    28460.05","    28669.30","       65338853","         4467.92"
"04-May-2020","    28197.45","    28235.45","    27544.75","    27599.00","       74361350","         4647.32"
"05-May-2020","    27815.70","    28011.75","    27065.85","    27138.60","       65780211","         3698.67"
"06-May-2020","    27061.50","    27062.10","    26373.95","    26630.20","      101493046","         4183.35"
"07-May-2020","    26402.25","    26445.10","    25984.00","    26254.55","      236904193","        38001.24"
"08-May-2020","    26809.40","    26809.40","    26598.05","    26759.80","       65277326","         5603.39"
"11-May-2020","    26895.65","    27149.05","    26608.20","    26667.80","       50403534","         4289.03"
"12-May-2020","    26571.05","    26913.65","    26321.90","    26857.15","       53361288","         4988.38"
"13-May-2020","    27761.90","    27765.90","    26680.75","    26746.50","       56803279","         4676.11"
"14-May-2020","    26618.10","    27090.80","    26587.00","    26933.65","       65530916","         5089.02"
"15-May-2020","    26969.40","    27028.95","    26795.85","    26958.65","       54811702","         3759.54"
"18-May-2020","    27057.50","    27092.50","    26653.95","    26694.65","       59539266","         4178.91"
"19-May-2020","    26895.20","    26987.65","    26731.45","    26895.75","       49736991","         3203.66"
"20-May-2020","    26995.10","    27428.25","    26935.65","    27290.35","       50600732","         2921.40"
"21-May-2020","    27366.50","    27967.00","    27207.45","    27887.10","       91935088","         4381.52"
"22-May-2020","    27843.25","    28051.25","    27658.10","    27786.10","       68203306","         3646.08"
"26-May-2020","    28071.70","    28403.75","    27957.60","    28122.30","       88109568","         4245.60"
"27-May-2020","    28226.25","    28296.10","    27742.25","    28222.40","       51946214","         3039.78"
"28-May-2020","    28223.10","    28524.25","    28096.75","    28451.60","       63838520","         4212.94"
"29-May-2020","    28374.75","    29384.90","    28297.90","    29296.95","      158631717","         9786.40"
"01-Jun-2020","    29579.45","    30023.35","    29483.50","    29571.30","       69900757","         4447.81"
"02-Jun-2020","    29751.55","    29752.05","    29326.20","    29359.85","       44818763","         2760.05"
"03-Jun-2020","    29704.10","    29887.80","    29431.50","    29527.00","       52614359","         4468.22"
"04-Jun-2020","    29573.25","    29725.15","    29311.30","    29621.55","       44781238","         2804.16"
"05-Jun-2020","    29789.35","    29802.75","    29428.25","    29542.00","       39218958","         2824.18"
"08-Jun-2020","    29891.30","    29891.30","    29447.55","    29502.15","       47190168","         3174.02"
"09-Jun-2020","    29507.25","    30117.65","    29455.05","    29524.90","       67577739","         3397.43"
"10-Jun-2020","    29645.20","    29770.75","    29379.90","    29503.20","       48134327","         2517.49"
"11-Jun-2020","    29552.10","    29698.95","    29045.65","    29092.45","       40953084","         2515.27"
"12-Jun-2020","    28356.65","    29227.25","    28319.10","    29145.60","       50796438","         3070.28"
"15-Jun-2020","    29187.50","    29215.85","    28591.15","    28701.80","       46194485","         2626.53"
"16-Jun-2020","    29081.20","    29103.30","    28349.00","    28575.35","       51030891","         2850.98"
"17-Jun-2020","    28517.90","    28673.85","    28384.70","    28431.75","       41710967","         2335.12"
