"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"09-Mar-2020","    13071.85","    13116.40","    12366.35","    12480.30","      340421903","         9301.82"
"11-Mar-2020","    12439.90","    12682.80","    12343.10","    12398.70","      249240185","         5835.45"
"12-Mar-2020","    11807.85","    11813.65","    11144.75","    11204.90","      317296366","         5827.80"
"13-Mar-2020","    10658.30","    11925.10","     9767.80","    11721.25","      324508487","         6747.64"
"16-Mar-2020","    11296.60","    11511.45","    10973.45","    11017.45","      212107660","         4184.73"
"17-Mar-2020","    11142.75","    11542.15","    10906.20","    10960.30","      173328093","         3908.59"
"18-Mar-2020","    11124.90","    11195.30","    10129.55","    10466.90","      432664370","         5835.39"
"19-Mar-2020","    10033.30","    10430.35","     9802.65","    10042.95","      229750458","         4608.76"
"20-Mar-2020","    10213.95","    11019.35","    10196.05","    10910.10","      377054258","         6366.91"
"23-Mar-2020","     9904.15","    10220.00","     9799.95","     9850.50","      165671447","         3144.60"
"24-Mar-2020","    10154.30","    10352.40","     9750.00","    10024.00","      152952094","         3298.22"
"25-Mar-2020","    10033.90","    10878.00","    10027.80","    10558.50","      144147911","         4625.22"
"26-Mar-2020","    10674.15","    10749.05","    10416.80","    10640.70","      181007529","         3667.58"
"27-Mar-2020","    10849.75","    10937.45","    10517.80","    10626.30","      171968606","         3465.31"
"30-Mar-2020","    10338.10","    10652.50","    10210.85","    10401.10","      123535903","         2483.43"
"31-Mar-2020","    10689.00","    11176.40","    10556.15","    11124.15","      195836193","         4156.46"
"01-Apr-2020","    11119.45","    11133.10","    10657.00","    10771.90","      118105179","         3187.29"
"03-Apr-2020","    11040.00","    11040.50","    10641.10","    10888.40","      159531858","         3584.52"
"07-Apr-2020","    11184.90","    11700.05","    11079.30","    11667.75","      187497243","         4627.92"
"08-Apr-2020","    11566.75","    11990.55","    11427.90","    11685.15","      180569917","         4376.99"
"09-Apr-2020","    11916.25","    12037.25","    11818.55","    11987.00","      103123738","         2933.35"
"13-Apr-2020","    11972.35","    11992.95","    11635.80","    11830.65","      107625553","         2322.95"
"15-Apr-2020","    11945.20","    12260.60","    11676.95","    11721.90","      126005128","         3193.85"
"16-Apr-2020","    11656.70","    12064.45","    11631.90","    11978.75","      125676746","         3242.94"
"17-Apr-2020","    12419.35","    12419.35","    12143.05","    12281.15","       97955010","         2757.66"
"20-Apr-2020","    12361.10","    12466.45","    12106.80","    12402.05","      129381759","         3237.41"
"21-Apr-2020","    12138.25","    12144.10","    11864.45","    12090.55","      135337902","         4500.23"
"22-Apr-2020","    12316.75","    12519.95","    12044.35","    12485.80","      213341063","        10128.02"
"23-Apr-2020","    12529.95","    12627.45","    12409.65","    12438.70","      146707455","         5317.44"
"24-Apr-2020","    12322.55","    12831.40","    12284.50","    12500.80","      176912152","         9958.89"
"27-Apr-2020","    12640.95","    12785.05","    12558.05","    12581.95","      115314371","         4846.86"
"28-Apr-2020","    12677.95","    12713.00","    12433.45","    12547.70","      169197849","         6683.45"
