"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"11-Feb-2020","      318.90","      320.90","      316.25","      317.80","       11700389","          264.66"
"12-Feb-2020","      318.00","      318.65","      311.40","      315.20","       10091917","          251.29"
"13-Feb-2020","      315.75","      316.70","      311.80","      313.80","        9420015","          268.18"
"14-Feb-2020","      314.95","      315.40","      309.05","      310.30","       10833424","          268.94"
"17-Feb-2020","      311.95","      312.50","      304.15","      305.70","       12397470","          304.17"
"18-Feb-2020","      304.60","      305.35","      300.35","      302.85","       10212036","          231.57"
"19-Feb-2020","      306.10","      308.45","      301.90","      306.20","       10008877","          249.76"
"20-Feb-2020","      305.90","      309.00","      304.65","      306.25","       13122599","          319.33"
"24-Feb-2020","      304.15","      305.80","      298.70","      299.75","       10623802","          236.66"
"25-Feb-2020","      300.70","      304.70","      300.40","      302.55","       11887860","          300.10"
"26-Feb-2020","      300.70","      302.00","      295.05","      297.50","       10032688","          211.53"
"27-Feb-2020","      296.70","      297.10","      288.00","      290.30","       12735540","          259.07"
"28-Feb-2020","      282.75","      284.10","      275.80","      280.55","       18266659","          414.68"
"02-Mar-2020","      284.90","      289.10","      277.20","      279.65","       16387962","          308.52"
"03-Mar-2020","      280.85","      287.10","      280.00","      284.15","       16081109","          327.85"
"04-Mar-2020","      286.30","      288.25","      273.60","      281.05","       13998010","          306.50"
"05-Mar-2020","      283.60","      284.85","      275.45","      277.85","       14040131","          352.28"
"06-Mar-2020","      268.45","      271.15","      265.10","      269.75","       12517593","          284.77"
"09-Mar-2020","      263.05","      264.05","      256.65","      260.00","       14104878","          316.26"
"11-Mar-2020","      258.35","      260.55","      252.70","      255.25","       11432519","          266.33"
"12-Mar-2020","      243.50","      244.85","      227.45","      230.30","       16522115","          316.70"
"13-Mar-2020","      208.55","      236.95","      203.40","      235.85","       14615406","          304.90"
"16-Mar-2020","      223.75","      225.00","      214.65","      216.15","       10718354","          249.37"
"17-Mar-2020","      214.65","      220.00","      210.50","      211.00","       11915878","          240.09"
"18-Mar-2020","      215.30","      215.90","      195.70","      197.75","       12952523","          272.73"
"19-Mar-2020","      187.45","      195.25","      181.95","      191.20","       14930335","          290.58"
"20-Mar-2020","      191.45","      198.65","      183.20","      196.40","       38437913","          412.20"
"23-Mar-2020","      178.55","      185.35","      171.10","      174.10","        9352131","          151.30"
"24-Mar-2020","      175.55","      181.60","      166.15","      170.65","       15191738","          232.63"
"25-Mar-2020","      166.50","      176.40","      165.35","      175.10","       17108422","          242.46"
"26-Mar-2020","      177.75","      189.70","      173.00","      185.80","       22629440","          298.68"
"27-Mar-2020","      191.90","      199.45","      181.65","      185.05","       19297142","          280.01"
"30-Mar-2020","      181.25","      182.20","      170.05","      171.60","       13368687","          181.28"
"31-Mar-2020","      177.35","      178.35","      171.90","      175.50","       12741227","          181.07"
"01-Apr-2020","      175.55","      177.60","      170.85","      172.10","        9163479","          137.79"
"03-Apr-2020","      173.40","      175.40","      168.80","      172.05","       10531108","          159.29"
"07-Apr-2020","      178.05","      183.95","      177.10","      183.00","       12343063","          251.38"
"08-Apr-2020","      180.35","      188.55","      178.85","      180.50","       15604004","          220.75"
"09-Apr-2020","      183.55","      187.05","      179.95","      185.75","       11181179","          190.81"
"13-Apr-2020","      186.60","      186.70","      173.90","      176.70","       17201639","          273.95"
"15-Apr-2020","      177.60","      182.95","      177.00","      179.95","       14796420","          275.42"
"16-Apr-2020","      179.05","      184.55","      178.60","      181.30","       17672261","          296.08"
"17-Apr-2020","      188.95","      192.50","      186.90","      187.80","       35363279","          553.41"
"20-Apr-2020","      189.90","      192.15","      187.80","      188.90","       23590488","          395.36"
"21-Apr-2020","      186.20","      186.45","      182.30","      185.45","       18392666","          258.40"
"22-Apr-2020","      186.05","      186.70","      181.80","      184.05","       15366269","          232.75"
"23-Apr-2020","      185.80","      189.40","      183.70","      185.45","       15325363","          249.46"
"24-Apr-2020","      182.75","      183.20","      177.00","      177.70","       17345096","          244.02"
"27-Apr-2020","      180.40","      182.50","      178.45","      180.10","       12232963","          203.11"
"28-Apr-2020","      182.25","      182.60","      179.75","      181.50","       14295543","          200.20"
"29-Apr-2020","      182.85","      184.70","      182.45","      183.15","       14508844","          218.98"
"30-Apr-2020","      185.65","      191.75","      185.05","      187.30","       18725387","          327.69"
"04-May-2020","      181.45","      182.20","      173.90","      174.30","       10167821","          183.70"
"05-May-2020","      177.10","      177.25","      169.00","      169.30","       11854952","          192.71"
"06-May-2020","      169.70","      171.80","      168.60","      171.00","       12089690","          210.15"
"07-May-2020","      171.20","      173.55","      170.15","      170.65","        9836484","          159.58"
"08-May-2020","      173.55","      173.70","      168.65","      169.55","       11110860","          168.61"
"11-May-2020","      173.15","      173.85","      170.70","      171.10","       11024816","          218.76"
"12-May-2020","      169.90","      173.10","      167.30","      172.45","       10714377","          174.79"
"13-May-2020","      180.15","      180.70","      175.65","      178.40","       15964409","          312.68"
"14-May-2020","      178.60","      178.60","      173.20","      175.20","       12407814","          206.56"
"15-May-2020","      177.35","      177.45","      171.75","      172.50","       12611623","          195.95"
"18-May-2020","      172.20","      172.60","      162.60","      163.30","       11094332","          202.23"
"19-May-2020","      165.35","      165.85","      160.85","      162.15","       10690904","          189.67"
"20-May-2020","      162.25","      166.65","      162.20","      165.75","       15500155","          248.01"
"21-May-2020","      166.50","      168.45","      164.55","      165.50","        9642283","          183.58"
"22-May-2020","      165.60","      167.00","      161.55","      163.55","       13255695","          166.10"
"26-May-2020","      164.70","      165.90","      163.90","      165.50","        7243099","          107.47"
"27-May-2020","      166.40","      168.90","      164.40","      168.40","       10568849","          203.99"
"28-May-2020","      169.05","      173.45","      168.95","      172.70","       18948482","          266.70"
"29-May-2020","      171.25","      182.15","      171.05","      180.10","       21867366","          373.32"
"01-Jun-2020","      182.90","      189.10","      182.80","      185.60","       16791105","          295.99"
"02-Jun-2020","      186.35","      195.15","      185.85","      194.75","       17225995","          374.55"
"03-Jun-2020","      197.05","      205.20","      194.65","      200.85","       23559722","          565.77"
"04-Jun-2020","      199.65","      201.70","      196.20","      197.35","       15216987","          307.32"
"05-Jun-2020","      196.35","      202.60","      194.50","      202.00","       32033333","          574.87"
"08-Jun-2020","      207.20","      208.40","      201.95","      202.65","       19179189","          338.90"
"09-Jun-2020","      203.80","      207.45","      201.85","      202.65","       16053241","          315.29"
"10-Jun-2020","      203.15","      207.65","      202.60","      206.60","       11981649","          214.40"
"11-Jun-2020","      206.15","      208.80","      201.50","      202.30","       17681460","          320.45"
"12-Jun-2020","      193.50","      205.70","      193.05","      204.65","       15248753","          273.18"
"15-Jun-2020","      204.20","      205.25","      198.05","      198.50","       13608072","          225.83"
"16-Jun-2020","      201.70","      204.00","      194.00","      196.85","       12404576","          262.11"
"17-Jun-2020","      196.50","      200.25","      195.20","      198.35","       11377953","          207.07"
