"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"16-Mar-2020","     2570.45","     2611.85","     2487.45","     2499.85","      298336988","         8348.24"
"17-Mar-2020","     2517.00","     2580.95","     2458.30","     2469.70","      261996752","         7424.26"
"18-Mar-2020","     2503.00","     2516.80","     2308.35","     2335.45","      546060948","        11050.16"
"19-Mar-2020","     2236.25","     2321.75","     2168.90","     2241.50","      428004757","         9689.17"
"20-Mar-2020","     2262.60","     2416.65","     2246.20","     2396.65","      584436987","        11360.11"
"23-Mar-2020","     2182.80","     2236.40","     2100.95","     2107.95","      291379193","         6370.37"
"24-Mar-2020","     2167.60","     2213.80","     2072.60","     2125.15","      295012666","         6954.89"
"25-Mar-2020","     2113.45","     2290.80","     2111.50","     2261.70","      299080832","         9098.60"
"26-Mar-2020","     2281.45","     2351.30","     2239.80","     2335.20","      393615042","         8934.05"
"27-Mar-2020","     2392.40","     2408.85","     2281.65","     2315.00","      329937051","         7216.49"
"30-Mar-2020","     2257.70","     2299.05","     2229.35","     2250.70","      214235838","         5422.62"
"31-Mar-2020","     2307.95","     2373.55","     2269.70","     2360.50","      297287647","         7735.03"
"01-Apr-2020","     2359.35","     2360.50","     2259.90","     2283.60","      199896960","         5544.19"
"03-Apr-2020","     2332.15","     2332.20","     2258.15","     2280.45","      261367207","         6837.07"
"07-Apr-2020","     2348.50","     2448.00","     2333.15","     2444.05","      306256360","         8261.58"
"08-Apr-2020","     2428.85","     2513.65","     2405.35","     2439.40","      334813933","         8616.54"
"09-Apr-2020","     2487.55","     2526.15","     2471.30","     2520.15","      212224350","         6836.73"
"13-Apr-2020","     2516.75","     2549.85","     2475.65","     2543.10","      241062996","         7322.34"
"15-Apr-2020","     2583.50","     2634.55","     2533.25","     2538.30","      281991062","         9152.51"
"16-Apr-2020","     2519.95","     2589.10","     2514.20","     2573.85","      235929433","         7598.67"
"17-Apr-2020","     2651.00","     2651.40","     2592.90","     2624.90","      214579084","         7602.88"
